date,Tmax,Tmin,Tmean,RH_mean,RH_max,wind_mean,wind_max,solar_mean,solar_max,heat_index,HI_max
2021-09-21,29.7,24.5,26.141666666666666,91.95833333333333,98,7.258333333333333,13.7,116.94166666666666,464.9,40.193735709135325,36.49781536603563
2021-09-22,30.4,24.9,27.058333333333334,86.25,96,9.045833333333333,13.3,196.625,709.0,40.95490640454625,35.769363055697866
2021-09-23,29.0,24.6,26.079166666666666,91.66666666666667,98,9.237499999999999,18.2,110.71666666666665,446.2,37.49581335698764,33.897293531555505
2021-09-24,30.0,24.7,27.1375,88.54166666666667,98,6.720833333333334,13.8,191.04999999999998,696.2,40.24765236337771,38.24360535555557
2021-09-25,29.5,24.8,26.954166666666666,89.29166666666667,99,6.1499999999999995,9.9,150.61666666666667,519.1,38.65521185770148,35.43451908244443
2021-09-26,29.9,25.0,26.870833333333334,89.83333333333333,97,6.658333333333332,10.4,154.68333333333334,521.7,40.28751965532551,37.08653635627564
2021-09-27,29.6,24.6,26.366666666666664,89.41666666666667,98,4.8999999999999995,7.7,117.575,557.9,39.05229450571597,35.197205917055406
2021-09-28,31.7,24.8,27.712500000000002,88.33333333333333,99,7.091666666666666,14.5,176.775,772.0,46.87137291159823,41.719278214895525
2021-09-29,28.7,25.1,26.53333333333333,88.70833333333333,95,21.133333333333333,35.6,81.85416666666667,411.1,35.75334904727391,33.33771711892448
2021-09-30,30.1,25.1,27.079166666666666,85.75,94,16.466666666666665,23.9,160.50833333333333,671.7,39.71947408010691,36.846262757615605
2021-10-01,31.3,24.6,27.691666666666666,85.79166666666667,98,6.533333333333334,10.0,210.1833333333333,724.1,44.16237325318781,39.21517049932442
2021-10-02,32.1,24.4,28.087500000000002,82.91666666666667,99,4.504166666666666,6.4,224.8166666666667,774.6,46.02821316055858,38.07810072057563
2021-10-03,31.9,25.8,28.520833333333332,79.58333333333333,90,6.508333333333334,9.9,220.39166666666668,790.6,43.83230592944195,37.825139095235485
2021-10-04,31.9,25.1,28.162499999999998,77.95833333333333,90,7.391666666666667,10.8,222.15416666666667,765.9,43.162582427116945,37.326090097475586
2021-10-05,32.4,25.1,28.295833333333334,79.75,95,6.8875,10.2,220.08333333333334,771.1,45.73087758479061,38.107001950995496
2021-10-06,33.4,25.9,29.3625,74.875,91,7.358333333333333,11.6,224.125,789.9,47.09182224095805,41.03352574707564
2021-10-07,33.8,25.8,29.72083333333333,80.45833333333333,94,5.25,8.2,219.67916666666667,789.9,51.63015275115899,43.45973437295109
2021-10-08,33.2,26.6,29.3875,82.54166666666667,97,4.591666666666667,9.9,200.5625,773.9,50.2776603351467,42.50800596027555
2021-10-09,32.1,25.9,28.554166666666664,84.29166666666667,96,5.658333333333334,8.7,199.4375,706.1,46.65729936383587,40.704078368415566
2021-10-10,31.3,25.3,28.212500000000002,85.375,98,4.9125000000000005,6.1,180.98333333333335,685.8,43.99298047670345,39.74047668909108
2021-10-11,32.2,25.2,28.495833333333334,82.875,98,5.3374999999999995,7.7,210.96666666666667,734.2,46.39907384153886,40.40927367955577
2021-10-12,32.9,25.0,28.537499999999998,79.41666666666667,96,6.558333333333334,13.0,217.7458333333333,755.3,47.466203978365066,39.26387408543789
2021-10-13,34.5,23.9,28.833333333333332,69.16666666666667,95,6.916666666666667,11.0,221.40833333333333,827.9,48.08411585561276,42.08295421682439
2021-10-14,34.8,24.7,29.008333333333336,58.583333333333336,75,8.200000000000001,11.6,226.52499999999998,829.8,43.801133968194705,35.93861748935116
2021-10-15,34.5,23.1,27.829166666666666,51.916666666666664,78,7.3125,10.6,239.67499999999998,843.9,40.2255528049078,33.285526447111096
2021-10-16,34.3,19.8,26.454166666666666,50.958333333333336,71,7.083333333333333,10.2,241.6,849.9,39.401329892777035,32.61451366180447
2021-10-17,33.3,21.6,27.71666666666667,56.0,80,7.104166666666667,11.2,211.125,754.1,38.846038964051104,35.372995112444535
2021-10-18,34.4,21.4,26.795833333333334,51.708333333333336,88,9.625,20.7,239.3083333333333,844.7,39.90967667213465,32.742842929357856
2021-10-19,34.0,22.0,26.825,51.416666666666664,74,12.858333333333334,16.6,235.6,834.5,38.87903101682564,33.152375537971174
2021-10-20,33.5,20.9,26.741666666666664,61.0,95,6.145833333333333,9.4,230.5041666666667,818.3,41.21296880155561,32.9599053739445
2021-10-21,33.3,20.8,26.966666666666665,53.25,78,5.979166666666667,9.7,229.09166666666667,813.2,37.92111703113915,32.76280817377556
2021-10-22,32.1,22.3,26.641666666666666,55.875,74,7.6499999999999995,11.5,228.58333333333334,815.1,36.093280393876476,31.74866802570449
2021-10-23,32.0,21.5,26.804166666666664,59.625,84,9.408333333333333,15.6,218.4416666666667,776.8,36.96136824978833,32.10317871911119
2021-10-24,31.5,23.1,27.116666666666664,63.291666666666664,89,6.870833333333334,10.2,209.8708333333333,758.6,36.870206105852134,31.82020934705794
2021-10-25,31.4,22.4,26.77916666666667,63.666666666666664,83,5.8875,10.6,195.91666666666666,723.9,36.73901498936701,33.08361627987563
2021-10-26,33.3,22.3,27.662499999999998,54.041666666666664,84,6.5125,13.7,204.78333333333333,725.2,38.18155166350877,32.692075587624494
2021-10-27,33.4,22.4,27.3875,51.291666666666664,76,9.0875,13.7,207.91666666666666,733.2,37.511397528696115,32.82544248716447
2021-10-28,33.4,22.1,26.483333333333334,41.25,60,10.970833333333333,14.7,221.39166666666665,794.7,34.718415590921104,31.60114046899558
2021-10-29,32.5,19.7,25.295833333333334,40.166666666666664,56,10.5,13.6,222.04166666666666,799.8,33.04523921624232,30.663601994444505
2021-10-30,32.2,19.4,24.733333333333334,42.541666666666664,58,10.779166666666667,16.5,224.5041666666667,811.8,33.057039228433055,30.3615501742045
2021-10-31,33.0,18.2,24.616666666666664,41.041666666666664,58,9.225,11.4,224.61249999999998,809.8,34.010214276341856,30.93952493511112
2021-11-01,32.9,17.4,24.65416666666667,46.208333333333336,71,7.7375,9.9,219.67499999999998,793.7,35.07080048169491,31.169519943997816
2021-11-02,32.9,18.6,25.204166666666666,42.416666666666664,61,10.6625,14.8,218.2541666666667,789.7,34.15574189215191,31.0766044766845
2021-11-03,32.8,19.3,25.02916666666667,43.666666666666664,60,10.845833333333333,13.8,216.1875,783.6,34.27586687737874,30.972253850204467
2021-11-04,32.6,19.4,24.941666666666666,41.416666666666664,58,11.2125,15.6,214.85,780.6,33.45284351230876,30.76575260908449
2021-11-05,32.8,19.2,25.025000000000002,39.875,54,10.941666666666668,15.5,211.44583333333333,779.7,33.44475291604816,30.972253850204467
2021-11-06,31.4,19.2,24.541666666666668,38.25,48,12.141666666666666,17.4,182.32083333333333,688.9,31.175675844714483,29.877663600764468
2021-11-07,32.2,18.2,24.420833333333334,38.791666666666664,51,11.4375,14.4,212.20000000000002,766.6,32.34903622492191,30.3615501742045
2021-11-08,32.7,19.3,25.995833333333334,37.583333333333336,55,12.5375,18.4,203.42916666666667,756.6,32.84629229948633,30.787061361935613
2021-11-09,33.1,20.3,25.683333333333334,37.166666666666664,50,11.558333333333332,16.3,206.11249999999998,755.6,33.35186168506007,31.1145179388711
2021-11-10,32.7,18.3,24.570833333333336,38.291666666666664,51,11.045833333333334,14.7,206.50833333333333,758.7,32.9799086162221,30.787061361935613
2021-11-11,32.1,18.1,24.025000000000002,38.708333333333336,56,11.637500000000001,17.4,205.66666666666666,758.8,32.19324798550456,30.071564957971116
2021-11-12,31.7,17.9,23.983333333333334,37.833333333333336,50,12.808333333333332,19.8,205.8083333333333,761.9,31.505339049337206,29.80980657513561
2021-11-13,31.6,18.5,24.116666666666664,38.25,52,13.5,20.8,205.68333333333337,754.9,31.437275109039465,29.660376876071137
2021-11-14,31.6,18.5,24.145833333333332,43.166666666666664,56,11.512500000000001,15.8,201.73749999999998,743.9,32.26228585725955,30.37043139207112
2021-11-15,31.4,17.9,24.0,44.041666666666664,63,11.670833333333334,16.6,198.25833333333333,733.9,32.12253176800406,30.25731474771557
2021-11-16,31.6,19.0,24.46666666666667,41.791666666666664,52,15.112499999999999,19.8,196.7541666666667,729.0,32.017328762457,30.478885213944505
2021-11-17,30.9,19.5,24.920833333333334,41.958333333333336,52,15.1625,18.7,158.34166666666667,579.6,31.0703306549119,30.384055891475604
2021-11-18,30.7,22.8,25.708333333333332,55.833333333333336,77,15.095833333333333,18.2,143.19583333333333,639.8,33.28765392729726,31.142940337055492
2021-11-19,32.0,21.2,25.558333333333334,67.20833333333333,82,11.320833333333333,15.9,174.4,661.7,39.41543245637786,33.896484647111244
2021-11-20,32.9,22.0,26.75833333333333,60.625,77,12.533333333333333,15.4,181.025,681.0,39.48602019092346,34.06143820759786
2021-11-21,33.4,22.8,27.604166666666668,58.041666666666664,71,13.674999999999999,18.1,180.9125,681.1,39.82063205369613,34.900471898897806
2021-11-22,33.7,24.2,28.083333333333332,59.541666666666664,73,11.387500000000001,13.8,172.17499999999998,658.0,41.17346407730154,35.421715954157776
2021-11-23,33.5,21.8,26.808333333333334,62.25,88,7.404166666666666,12.5,185.25,695.5,41.71459182830902,34.16322831780448
2021-11-24,32.7,18.4,24.599999999999998,52.625,81,6.3875,9.4,190.9,713.9,36.431261212836404,31.05259206379562
2021-11-25,32.1,15.7,23.333333333333332,57.458333333333336,91,6.020833333333333,9.5,194.40833333333333,728.2,36.54714631217823,30.071564957971116
2021-11-26,32.8,17.7,24.266666666666666,59.333333333333336,89,7.075,10.1,188.36249999999998,707.1,38.781946318990585,31.621906391591082
2021-11-27,33.0,18.1,24.708333333333332,52.541666666666664,79,7.658333333333334,11.0,186.975,702.2,37.04112402580497,31.379276319555604
2021-11-28,32.6,18.7,24.804166666666664,41.333333333333336,70,9.145833333333334,11.5,185.57916666666665,697.3,33.435462232590666,30.68622041427558
2021-11-29,31.4,18.2,24.22083333333333,41.666666666666664,66,12.3125,18.1,183.96666666666667,694.5,31.711346002155096,29.530130504675565
