date,Tmax,Tmin,Tmean,RH_mean,RH_max,wind_mean,wind_max,solar_mean,solar_max
2024-03-28,40.4,26.6,33.25833333333333,29.458333333333332,46,10.5,15.9,270.80833333333334,911.5
2024-03-29,39.8,25.8,32.137499999999996,29.25,51,10.1,16.5,277.8041666666667,929.6
2024-03-30,37.9,25.6,30.82083333333333,30.666666666666668,54,11.862499999999999,18.9,282.1333333333333,938.6
2024-03-31,37.1,23.8,29.820833333333336,29.541666666666668,50,9.845833333333333,13.1,286.98333333333335,954.7
2024-04-01,38.1,23.8,30.5625,31.625,63,9.183333333333334,17.5,261.5208333333333,872.9
2024-04-02,37.5,23.3,30.433333333333334,25.375,40,8.029166666666667,13.9,231.85833333333335,890.1
2024-04-03,37.3,23.8,30.854166666666668,28.333333333333332,61,10.341666666666667,13.7,272.44166666666666,953.1
2024-04-04,37.5,25.4,31.141666666666666,31.916666666666668,59,8.875,12.9,226.01250000000002,756.4
2024-04-05,37.5,24.7,31.162499999999998,33.0,65,12.516666666666666,20.5,257.575,941.5
2024-04-06,37.9,26.7,31.837500000000002,26.041666666666668,46,12.85,17.7,284.5083333333333,956.6
2024-04-07,38.8,24.3,31.150000000000002,22.708333333333332,36,9.862499999999999,14.3,294.15000000000003,966.5
2024-04-08,40.1,24.7,32.40833333333333,27.791666666666668,68,9.154166666666667,15.3,294.9583333333333,969.4
2024-04-09,41.0,23.5,32.612500000000004,22.625,42,6.420833333333333,10.0,293.79583333333335,964.1
2024-04-10,40.0,25.6,33.291666666666664,21.541666666666668,41,6.741666666666667,10.7,252.85833333333332,955.8
2024-04-11,40.5,25.6,33.3375,27.666666666666668,50,7.420833333333333,16.6,274.55,948.5
2024-04-12,38.9,25.7,31.6375,30.416666666666668,53,10.4625,14.0,289.65416666666664,957.5
2024-04-13,38.7,23.2,31.004166666666666,41.166666666666664,68,8.745833333333334,14.7,284.8041666666667,944.1
2024-04-14,39.5,27.0,32.766666666666666,42.666666666666664,65,7.329166666666667,20.1,250.47916666666666,903.3
2024-04-15,40.8,27.1,33.608333333333334,35.458333333333336,67,10.641666666666667,18.6,271.37083333333334,935.6
2024-04-16,41.3,27.5,34.24583333333333,26.666666666666668,43,10.095833333333333,15.1,292.49583333333334,953.8
2024-04-17,42.9,27.6,35.395833333333336,24.25,39,10.241666666666667,17.5,292.2708333333333,955.6
2024-04-18,41.6,28.5,34.81666666666667,25.083333333333332,37,11.766666666666666,18.8,280.71250000000003,929.1
2024-04-19,39.7,27.5,33.43333333333333,32.625,61,13.987499999999999,20.5,288.2625,944.2
2024-04-20,37.9,25.7,31.679166666666664,30.083333333333332,49,13.1625,19.6,299.07916666666665,971.4
2024-04-21,38.3,25.6,31.545833333333334,36.458333333333336,68,11.075000000000001,16.6,279.825,919.5
2024-04-22,38.5,25.4,31.7375,31.041666666666668,55,11.174999999999999,17.7,299.0208333333333,964.1
2024-04-23,39.4,24.7,32.18333333333333,31.916666666666668,60,7.745833333333334,11.6,299.34583333333336,963.9
2024-04-24,40.9,26.2,33.229166666666664,29.041666666666668,54,8.083333333333334,13.2,298.99583333333334,962.8
2024-04-25,40.8,27.1,33.862500000000004,30.791666666666668,53,10.299999999999999,16.4,292.7416666666667,952.6
2024-04-26,40.3,25.6,33.37916666666667,31.708333333333332,73,9.887500000000001,17.3,292.81666666666666,938.8
2024-04-27,39.8,27.7,33.65833333333333,28.833333333333332,54,10.216666666666667,14.8,266.2625,894.5
2024-04-28,40.8,28.6,34.079166666666666,19.791666666666668,35,10.9625,15.2,297.68333333333334,969.5
2024-04-29,40.7,28.5,34.166666666666664,25.333333333333332,47,12.320833333333333,17.1,296.9458333333333,957.2
2024-04-30,40.6,26.4,33.59583333333333,16.625,28,12.433333333333332,20.3,306.9791666666667,978.4
2024-05-01,40.8,25.4,33.012499999999996,16.833333333333332,35,12.7125,18.9,317.3208333333333,1010.8
2024-05-02,40.3,24.5,32.645833333333336,13.0,22,6.4375,10.2,299.8208333333333,986.3
2024-05-03,42.1,25.8,33.90833333333333,18.625,39,9.737499999999999,13.7,300.9291666666667,984.2
2024-05-04,41.4,29.0,34.987500000000004,33.5,61,13.729166666666666,20.9,286.14166666666665,933.5
2024-05-05,39.5,30.0,34.55416666666667,34.541666666666664,44,15.8375,20.5,209.13750000000002,807.3
2024-05-06,41.0,27.1,33.92916666666667,39.75,74,11.941666666666668,16.6,301.6875,958.7
2024-05-07,43.1,27.6,35.13333333333333,41.5,73,9.9,19.0,288.425,944.4
2024-05-08,42.7,28.7,35.479166666666664,36.958333333333336,63,11.991666666666667,17.1,291.44166666666666,947.4
2024-05-09,42.4,28.9,35.762499999999996,32.666666666666664,53,13.5,20.9,283.6791666666667,928.1
2024-05-10,42.2,28.9,35.4,41.75,66,12.341666666666667,19.9,292.04583333333335,941.2
2024-05-11,41.0,28.8,34.93333333333333,40.75,69,8.975,14.8,268.7583333333333,877.3
2024-05-12,41.7,29.1,34.979166666666664,40.5,64,11.987499999999999,19.9,266.83750000000003,883.5
2024-05-13,39.5,29.2,33.791666666666664,42.375,57,12.262500000000001,28.4,220.97083333333333,796.6
2024-05-14,40.0,27.5,33.8375,35.416666666666664,62,7.420833333333333,15.8,272.3041666666667,935.1
2024-05-15,41.0,27.4,35.24166666666667,26.166666666666668,41,8.379166666666666,18.9,278.3,950.2
2024-05-16,42.7,29.4,35.895833333333336,28.708333333333332,48,10.833333333333334,16.5,275.9166666666667,938.1
2024-05-17,45.0,30.8,37.204166666666666,24.0,40,12.691666666666668,20.3,288.35833333333335,932.0
2024-05-18,45.4,29.3,36.99583333333333,29.625,59,10.908333333333333,15.5,290.44166666666666,949.2
2024-05-19,45.5,31.5,38.583333333333336,18.583333333333332,34,15.375,20.3,295.1375,937.0
2024-05-20,44.7,31.4,37.84583333333333,24.75,43,16.204166666666666,19.4,295.82916666666665,930.2
2024-05-21,45.2,30.8,37.516666666666666,28.916666666666668,51,11.916666666666666,16.5,292.9375,912.5
2024-05-22,45.9,30.4,38.00833333333333,33.208333333333336,64,11.708333333333334,17.9,289.15416666666664,943.2
2024-05-23,46.5,31.0,38.65833333333333,27.208333333333332,55,16.779166666666665,21.8,304.675,952.3
2024-05-24,45.8,30.4,38.00833333333333,30.833333333333332,59,16.6375,20.2,301.84166666666664,945.3
2024-05-25,44.6,29.2,36.38333333333333,41.791666666666664,70,14.4625,20.4,297.2916666666667,934.2
2024-05-26,43.9,30.9,36.645833333333336,42.625,71,13.820833333333333,20.0,294.56666666666666,933.2
2024-05-27,44.3,29.4,35.791666666666664,47.375,74,16.683333333333334,23.4,297.9875,932.2
2024-05-28,44.2,29.1,35.19583333333333,48.458333333333336,72,18.616666666666667,26.9,296.53333333333336,937.3
2024-05-29,42.9,29.0,34.67916666666667,52.291666666666664,72,18.770833333333332,23.8,292.25,921.1
2024-05-30,42.5,28.4,34.275,52.208333333333336,72,14.991666666666667,24.7,301.22083333333336,948.5
2024-05-31,41.9,29.3,34.625,51.083333333333336,70,14.216666666666667,25.5,299.37916666666666,941.5
2024-06-01,41.9,29.5,34.637499999999996,48.583333333333336,74,15.304166666666667,22.5,297.2375,931.4
2024-06-02,41.6,29.4,34.550000000000004,46.541666666666664,74,10.970833333333333,19.6,297.71250000000003,939.6
2024-06-03,41.3,29.3,34.90833333333333,49.916666666666664,73,11.725,18.5,274.62916666666666,881.9
2024-06-04,40.9,29.7,35.083333333333336,47.75,69,12.608333333333334,18.7,281.925,899.2
2024-06-05,41.3,29.1,34.90833333333333,44.666666666666664,67,13.966666666666667,20.3,297.9166666666667,926.6
2024-06-06,41.6,28.6,35.083333333333336,44.791666666666664,73,11.566666666666668,21.0,291.6333333333333,902.3
2024-06-07,41.6,29.6,35.59583333333334,45.25,69,12.245833333333332,17.0,291.87083333333334,920.7
2024-06-08,40.9,29.6,35.15,45.041666666666664,70,12.216666666666667,20.6,289.2708333333333,916.7
2024-06-09,42.2,30.5,35.87083333333333,44.375,67,13.7875,25.5,283.5833333333333,913.7
2024-06-10,40.9,30.0,34.9625,47.208333333333336,70,11.491666666666667,18.8,233.79166666666666,889.5
2024-06-11,41.3,29.0,34.862500000000004,48.625,79,12.495833333333332,17.3,283.15416666666664,908.8
2024-06-12,40.8,28.2,34.18333333333333,50.333333333333336,79,14.095833333333333,19.5,277.75416666666666,901.8
2024-06-13,41.2,28.7,34.15,49.458333333333336,73,14.579166666666667,18.1,284.70416666666665,916.1
2024-06-14,40.7,29.4,33.9375,50.625,77,15.041666666666666,23.1,283.78333333333336,923.3
2024-06-15,39.9,29.5,33.94583333333333,52.25,80,11.954166666666666,22.0,284.06666666666666,924.4
2024-06-16,41.0,29.9,34.61666666666667,50.666666666666664,77,12.8125,19.4,284.21666666666664,886.0
2024-06-17,40.9,30.0,34.729166666666664,52.333333333333336,77,11.895833333333334,20.2,281.5833333333333,873.9
2024-06-18,40.0,30.7,34.079166666666666,54.166666666666664,74,16.3,26.1,257.7291666666667,836.1
2024-06-19,40.5,30.0,33.87083333333333,55.208333333333336,71,17.316666666666666,24.4,242.21249999999998,749.3
2024-06-20,41.9,29.9,34.375,53.375,72,18.166666666666668,24.2,270.22083333333336,878.6
2024-06-21,41.3,29.7,34.25416666666667,55.083333333333336,73,15.7875,23.3,267.3,892.5
2024-06-22,40.2,30.1,34.670833333333334,51.333333333333336,70,11.35,17.7,264.8875,879.8
2024-06-23,41.7,30.4,34.641666666666666,53.958333333333336,76,9.237499999999999,19.8,233.72916666666666,808.9
2024-06-24,40.0,29.8,33.358333333333334,58.541666666666664,74,9.325000000000001,14.8,227.00416666666663,832.8
2024-06-25,35.1,27.1,30.754166666666666,73.45833333333333,91,9.354166666666666,18.8,179.24166666666667,604.8
2024-06-26,37.3,28.5,32.28333333333333,66.83333333333333,83,9.225,14.6,250.35,831.8
2024-06-27,35.1,28.5,31.116666666666664,72.54166666666667,86,14.504166666666668,20.3,208.0875,639.0
