date,Tmax,Tmean,RH_mean,HI_max,WBGT_max,heat_severity,temperature_score,heat_index_score,wbgt_score,heat_risk_score,risk_category,heat_streak,mortality_RR
2018-04-25,39.5,31.53333333333333,22.791666666666668,36.907408726595605,28.106574499604672,31.626908190401046,50,25,50,42.5,MODERATE,0,1.245
2018-04-26,39.9,31.64583333333333,38.5,38.26444519868447,29.89700813701934,33.24398296168539,50,50,50,50.0,HIGH,0,1.255
2018-04-27,40.1,32.87916666666667,43.958333333333336,41.68565237236445,32.21709014407578,36.00451503539125,75,50,75,67.5,HIGH,0,1.259
2018-04-28,41.3,33.675000000000004,39.91666666666666,42.27320415555557,32.28191049768517,36.278427960833326,75,50,75,67.5,HIGH,0,1.289
2018-04-29,42.0,33.17916666666667,42.04166666666666,40.81091595955557,30.81948986530105,34.816060303002864,75,50,50,57.5,HIGH,0,1.306
2018-04-30,42.6,33.704166666666666,38.25,41.93163956355555,30.90875069401877,35.317906241833484,75,50,50,57.5,HIGH,0,1.321
2018-05-01,42.1,33.416666666666664,37.708333333333336,40.90641338283555,30.63885584172448,34.74587885816891,75,50,50,57.5,HIGH,0,1.308
2018-05-02,42.3,32.795833333333334,46.16666666666666,40.48780485977782,31.278953869051996,34.96249426534233,75,50,75,67.5,HIGH,0,1.313
2018-05-03,41.3,32.6625,44.0,40.19116199523555,30.25155913499405,34.227400279090645,75,50,50,57.5,HIGH,0,1.289
2018-05-04,40.7,33.233333333333334,51.5,41.86716616793787,32.35934471595714,36.16247329674943,75,50,75,67.5,HIGH,0,1.274
2018-05-05,41.7,34.02916666666667,43.5,40.75884306905783,30.858698994139974,34.81875662410712,75,50,50,57.5,HIGH,0,1.298
2018-05-06,41.2,34.12083333333333,30.666666666666668,39.46661685361779,29.667510509010032,33.58715304685313,75,50,50,57.5,HIGH,0,1.286
2018-05-07,39.5,32.2875,38.75,38.004962627484495,29.99470459676804,33.19880780905462,50,50,50,50.0,HIGH,0,1.245
2018-05-08,40.1,32.737500000000004,42.708333333333336,39.58515455044447,30.821318384622558,34.32685285095132,75,50,50,57.5,HIGH,0,1.259
2018-05-09,41.2,33.75833333333333,40.083333333333336,39.86559604940445,30.768873324181868,34.4075624142709,75,50,50,57.5,HIGH,0,1.286
2018-05-10,42.2,34.80833333333333,31.916666666666668,41.07598559539559,31.263271067316808,35.18835687854832,75,50,75,67.5,HIGH,0,1.311
2018-05-11,42.5,35.17916666666667,34.458333333333336,42.20893756059554,31.52137073580292,35.79639746571996,75,50,75,67.5,HIGH,0,1.318
2018-05-12,41.8,34.4625,34.583333333333336,40.35301343969785,30.404471561043785,34.383888312505405,75,50,50,57.5,HIGH,0,1.301
2018-05-13,41.9,34.62916666666667,38.208333333333336,41.50910504812445,31.787427435901265,35.67609848079054,75,50,75,67.5,HIGH,0,1.303
2018-05-14,41.4,34.354166666666664,40.5,41.05116896307556,31.69882547064124,35.43976286761496,75,50,75,67.5,HIGH,0,1.291
2018-05-15,42.4,34.7,35.125,41.3067409640978,31.375723653046958,35.34813057746729,75,50,75,67.5,HIGH,0,1.316
2018-05-16,42.1,34.44583333333333,40.25,42.27963475135112,31.74111270853753,35.956521525662964,75,50,75,67.5,HIGH,0,1.308
2018-05-17,43.1,35.59166666666667,38.75,42.01769177521558,31.73735907466206,35.849492154883464,75,50,75,67.5,HIGH,0,1.333
2018-05-18,42.5,35.329166666666666,35.5,41.58360064985784,31.119327808375857,35.30503694496865,75,50,75,67.5,HIGH,0,1.318
2018-05-19,41.7,34.275,40.375,40.67820995637115,30.56642278804965,34.61113765537825,75,50,50,57.5,HIGH,0,1.298
2018-05-20,42.9,35.420833333333334,36.91666666666666,41.1253979113245,30.959618096959844,35.02593002270571,75,50,50,57.5,HIGH,0,1.328
2018-05-21,42.3,34.704166666666666,34.625,41.3067409640978,31.62395391901846,35.4970687370502,75,50,75,67.5,HIGH,0,1.313
2018-05-22,42.5,34.545833333333334,36.91666666666666,41.72275817729782,31.689807015049787,35.702987479949,75,50,75,67.5,HIGH,0,1.318
2018-05-23,44.0,35.608333333333334,32.041666666666664,40.70379169644446,30.38476114864519,34.512373367764894,75,50,50,57.5,HIGH,0,1.357
2018-05-24,42.6,35.5,25.541666666666668,40.20669103943115,29.76575598763999,33.94213000835646,75,50,50,57.5,HIGH,0,1.321
2018-05-25,41.1,33.954166666666666,36.875,39.34321893433778,30.571104950348424,34.07995054394417,75,50,50,57.5,HIGH,0,1.284
2018-05-26,43.0,35.300000000000004,41.083333333333336,43.56309106111113,32.5694193959457,36.96688806201188,75,75,75,75.0,EXTREME,1,1.331
2018-05-27,43.8,36.12916666666667,39.625,44.05513152055115,32.553997641702715,37.15445119324209,75,75,75,75.0,EXTREME,2,1.351
2018-05-28,43.0,35.775,42.583333333333336,44.50868299444448,33.03755720058906,37.62600751813123,75,75,75,75.0,EXTREME,3,1.331
2018-05-29,42.2,33.74166666666667,55.66666666666666,44.02427313810449,32.477705329640635,37.09633245302618,75,75,75,75.0,EXTREME,4,1.311
2018-05-30,41.2,33.733333333333334,54.66666666666666,44.8044543225756,32.68851800950533,37.53489253473344,75,75,75,75.0,EXTREME,5,1.286
